batter,avg_pa,babip,rolling_xBA,momentum,matchup_score,l10_hit_rate,season_hit_rate,avg_vs_L,avg_vs_R,streak_len,stand
622700,4.3333335,0.0,0.25,88.0,-0.2519892,0.0,0.0,0.0,0.0,0,R
664966,2.75,0.5,0.25,88.0,20.878342,0.5,0.5,0.5,0.25,0,R
675649,6.0,0.25,0.25,88.0,-1.1454797,0.0,0.0,0.0,0.25,0,L
656568,6.0,0.0,0.25,88.0,-0.09882766,0.0,0.0,0.0,0.0,0,L
670298,12.0,0.25,0.25,81.43636,-3.8812087,0.25,0.25,0.0,0.2222222222222222,0,R
673516,3.8,0.0,0.25,88.0,3.9239504,0.6,0.6,0.0,0.0,0,R
546994,1.0,0.0,0.25,88.0,-9.704885,0.0,0.0,0.0,0.0,0,R
692405,5.5,0.0,0.25,88.0,-0.5637078,0.0,0.0,0.0,0.0,0,R
673476,3.8,0.0,0.25,88.0,-1.6702256,0.6,0.6,0.0,0.0,0,L
668888,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
689070,3.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
641938,1.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
